Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      2.43     0.00  1858478     0.00     0.00  __gnu_cxx::__normal_iterator<GraphEdge*, std::vector<GraphEdge, std::allocator<GraphEdge> > >::operator*() const
  0.00      2.43     0.00  1389854     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::base() const
  0.00      2.43     0.00  1319340     0.00     0.00  void std::vector<int, std::allocator<int> >::emplace_back<int>(int&&)
  0.00      2.43     0.00  1259342     0.00     0.00  __gnu_cxx::__normal_iterator<std::pair<int, double>*, std::vector<std::pair<int, double>, std::allocator<std::pair<int, double> > > >::operator*() const
  0.00      2.43     0.00  1064740     0.00     0.00  std::__detail::_Hashtable_alloc<std::allocator<std::__detail::_Hash_node<std::pair<int const, double>, false> > >::_M_node_allocator()
  0.00      2.43     0.00  1064740     0.00     0.00  std::__detail::_Hashtable_ebo_helper<0, std::allocator<std::__detail::_Hash_node<std::pair<int const, double>, false> >, true>::_M_get()
  0.00      2.43     0.00  1055352     0.00     0.00  std::tuple<>&& std::forward<std::tuple<> >(std::remove_reference<std::tuple<> >::type&)
  0.00      2.43     0.00  1055352     0.00     0.00  std::tuple<int const&>&& std::forward<std::tuple<int const&> >(std::remove_reference<std::tuple<int const&> >::type&)
  0.00      2.43     0.00   828972     0.00     0.00  std::__detail::_Hash_node<std::pair<int const, double>, false>::_M_next() const
  0.00      2.43     0.00   558889     0.00     0.00  std::__detail::_Hash_code_base<int, std::pair<int const, double>, std::__detail::_Select1st, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_bucket_index(std::__detail::_Hash_node_value<std::pair<int const, double>, false> const&, unsigned long) const
