Vertex	Dijkstra	DeltaStepping	ParallelDeltaStepping
393	22.3344	22.3344	22.3344
394	23.9308	23.9308	23.9308
395	12.0037	12.0037	12.0037
396	26.7264	26.7264	26.7264
397	22.5718	22.5718	22.5718
398	27.9844	27.9844	27.9844
399	26.1464	26.1464	26.1464
400	21.0811	21.0811	21.0811
401	23.6276	23.6276	23.6276
402	18.7575	18.7575	18.7575
403	25.0939	25.0939	25.0939
404	12.421	12.421	12.421
405	25.1093	25.1093	25.1093
406	22.5342	22.5342	22.5342
407	21.2559	21.2559	21.2559
408	26.2073	26.2073	26.2073
409	24.6508	24.6508	24.6508
410	21.1776	21.1776	21.1776
411	26.8404	26.8404	26.8404
412	23.8372	23.8372	23.8372
413	22.6844	22.6844	22.6844
414	25.2369	25.2369	25.2369
415	16.5109	16.5109	16.5109
416	19.3833	19.3833	19.3833
417	25.2325	25.2325	25.2325
418	22.5969	22.5969	22.5969
419	24.2818	24.2818	24.2818
420	1.79769e+308	inf	inf
421	22.709	22.709	22.709
422	25.4059	25.4059	25.4059
423	20.0468	20.0468	20.0468
424	23.3454	23.3454	23.3454
425	22.9621	22.9621	22.9621
426	24.0675	24.0675	24.0675
427	31.3934	31.3934	31.3934
428	26.5495	26.5495	26.5495
429	22.3525	22.3525	22.3525
430	29.9976	29.9976	29.9976
431	25.5669	25.5669	25.5669
432	25.638	25.638	25.638
433	23.4246	23.4246	23.4246
434	21.4831	21.4831	21.4831
435	24.2352	24.2352	24.2352
436	21.2855	21.2855	21.2855
437	30.8882	30.8882	30.8882
438	23.0495	23.0495	23.0495
439	28.3754	28.3754	28.3754
440	26.3136	26.3136	26.3136
441	19.1011	19.1011	19.1011
442	26.2366	26.2366	26.2366
443	26.8935	26.8935	26.8935
444	20.2016	20.2016	20.2016
445	18.5938	18.5938	18.5938
446	24.4307	24.4307	24.4307
447	23.4864	23.4864	23.4864
448	24.7841	24.7841	24.7841
449	23.1139	23.1139	23.1139
450	24.6196	24.6196	24.6196
451	30.3422	30.3422	30.3422
452	20.9515	20.9515	20.9515
453	24.4023	24.4023	24.4023
454	11.1235	11.1235	11.1235
455	25.6282	25.6282	25.6282
456	20.5965	20.5965	20.5965
457	20.5365	20.5365	20.5365
458	25.2674	25.2674	25.2674
459	26.6926	26.6926	26.6926
460	25.7911	25.7911	25.7911
461	28.2205	28.2205	28.2205
462	21.152	21.152	21.152
463	18.9045	18.9045	18.9045
464	27.66	27.66	27.66
465	23.8846	23.8846	23.8846
466	21.7132	21.7132	21.7132
467	21.5105	21.5105	21.5105
468	17.8343	17.8343	17.8343
469	17.9968	17.9968	17.9968
470	25.5684	25.5684	25.5684
471	25.0443	25.0443	25.0443
472	24.6256	24.6256	24.6256
473	25.4577	25.4577	25.4577
474	22.46	22.46	22.46
475	1.79769e+308	inf	inf
476	19.695	19.695	19.695
477	25.7837	25.7837	25.7837
478	28.6845	28.6845	28.6845
479	24.4826	24.4826	24.4826
480	24.254	24.254	24.254
481	21.5904	21.5904	21.5904
482	24.1541	24.1541	24.1541
483	27.8695	27.8695	27.8695
484	29.2499	29.2499	29.2499
485	32.9328	32.9328	32.9328
486	27.5314	27.5314	27.5314
487	30.3766	30.3766	30.3766
488	19.5045	19.5045	19.5045
489	25.1942	25.1942	25.1942
490	24.0354	24.0354	24.0354
491	25.7246	25.7246	25.7246
492	25.6195	25.6195	25.6195
493	18.253	18.253	18.253
494	21.0794	21.0794	21.0794
495	1.79769e+308	inf	inf
496	28.3376	28.3376	28.3376
497	16.9556	16.9556	16.9556
498	32.5023	32.5023	32.5023
499	21.3289	21.3289	21.3289
500	23.0748	23.0748	23.0748
501	28.3006	28.3006	28.3006
502	20.4805	20.4805	20.4805
503	23.1543	23.1543	23.1543
504	26.8024	26.8024	26.8024
505	24.989	24.989	24.989
506	26.7118	26.7118	26.7118
507	24.3539	24.3539	24.3539
508	25.6266	25.6266	25.6266
509	24.781	24.781	24.781
510	17.0495	17.0495	17.0495
511	22.379	22.379	22.379
512	21.2507	21.2507	21.2507
513	18.5661	18.5661	18.5661
514	29.9385	29.9385	29.9385
515	29.5828	29.5828	29.5828
516	24.6023	24.6023	24.6023
517	18.7147	18.7147	18.7147
518	22.9134	22.9134	22.9134
519	19.7111	19.7111	19.7111
520	23.971	23.971	23.971
521	24.6495	24.6495	24.6495
522	24.2828	24.2828	24.2828
523	26.4616	26.4616	26.4616
524	21.9452	21.9452	21.9452
525	23.804	23.804	23.804
526	26.5251	26.5251	26.5251
527	18.3347	18.3347	18.3347
528	26.4544	26.4544	26.4544
529	26.1196	26.1196	26.1196
530	26.5669	26.5669	26.5669
531	20.2794	20.2794	20.2794
532	24.9496	24.9496	24.9496
533	23.8173	23.8173	23.8173
534	20.4237	20.4237	20.4237
535	24.0618	24.0618	24.0618
536	20.5507	20.5507	20.5507
537	18.2136	18.2136	18.2136
538	30.2638	30.2638	30.2638
539	29.7329	29.7329	29.7329
540	24.9302	24.9302	24.9302
541	16.9086	16.9086	16.9086
542	20.0079	20.0079	20.0079
543	26.3952	26.3952	26.3952
544	27.4768	27.4768	27.4768
545	27.8529	27.8529	27.8529
546	26.3376	26.3376	26.3376
547	27.3711	27.3711	27.3711
548	20.2616	20.2616	20.2616
549	23.3469	23.3469	23.3469
550	30.5368	30.5368	30.5368
551	26.7723	26.7723	26.7723
552	11.054	11.054	11.054
553	24.619	24.619	24.619
554	21.1116	21.1116	21.1116
555	22.8092	22.8092	22.8092
556	24.8351	24.8351	24.8351
557	26.8985	26.8985	26.8985
558	22.7493	22.7493	22.7493
559	21.1956	21.1956	21.1956
560	26.4818	26.4818	26.4818
561	1.79769e+308	inf	inf
562	30.8823	30.8823	30.8823
563	27.6221	27.6221	27.6221
564	27.4333	27.4333	27.4333
565	30.2878	30.2878	30.2878
566	19.5728	19.5728	19.5728
567	28.0532	28.0532	28.0532
568	28.6293	28.6293	28.6293
569	30.7215	30.7215	30.7215
570	29.8643	29.8643	29.8643
571	22.3248	22.3248	22.3248
572	20.1212	20.1212	20.1212
573	23.2457	23.2457	23.2457
574	26.0236	26.0236	26.0236
575	23.3288	23.3288	23.3288
576	24.4311	24.4311	24.4311
577	23.5314	23.5314	23.5314
578	26.3702	26.3702	26.3702
579	23.295	23.295	23.295
580	23.4817	23.4817	23.4817
581	22.5481	22.5481	22.5481
582	22.16	22.16	22.16
583	23.717	23.717	23.717
584	23.1557	23.1557	23.1557
585	21.0889	21.0889	21.0889
586	22.9674	22.9674	22.9674
587	22.1952	22.1952	22.1952
588	25.6097	25.6097	25.6097
589	23.4796	23.4796	23.4796
590	24.7186	24.7186	24.7186
591	18.5277	18.5277	18.5277
592	28.7754	28.7754	28.7754
593	24.544	24.544	24.544
594	17.7079	17.7079	17.7079
595	24.4391	24.4391	24.4391
596	24.2399	24.2399	24.2399
597	23.2221	23.2221	23.2221
598	25.8641	25.8641	25.8641
599	23.5705	23.5705	23.5705
600	25.6889	25.6889	25.6889
601	26.4987	26.4987	26.4987
602	19.6143	19.6143	19.6143
603	24.8131	24.8131	24.8131
604	24.8753	24.8753	24.8753
605	20.0867	20.0867	20.0867
606	27.8579	27.8579	27.8579
607	26.2534	26.2534	26.2534
608	17.8383	17.8383	17.8383
609	21.3063	21.3063	21.3063
610	22.0431	22.0431	22.0431
611	22.1402	22.1402	22.1402
612	25.4372	25.4372	25.4372
613	20.7219	20.7219	20.7219
614	20.253	20.253	20.253
615	25.0846	25.0846	25.0846
616	18.7091	18.7091	18.7091
617	19.7136	19.7136	19.7136
618	25.7016	25.7016	25.7016
619	21.7433	21.7433	21.7433
620	26.8436	26.8436	26.8436
621	24.1429	24.1429	24.1429
